,losses,accuracy,k accuracy
train,0.5915623444432534,0.8086321573163678,0.9632916425679584
val,1.245009657549265,0.5835743204164257,0.8585887796414112
test,1.2340703826428356,0.5933208038166835,0.8571635101922799
